Nser,Npar,Irradiance,Temperature,Vmpp,Impp,Label
4,3,10,0,162.295,0.172861167,1
4,3,10,10,153.6310478,0.173456956,1
4,3,10,20,145.0060478,0.173953345,1
4,3,10,30,136.405,0.174359214,1
4,3,10,40,127.855,0.17462994,1
4,3,10,50,119.3571306,0.174747978,1
4,3,10,60,110.9037496,0.174706898,1
4,3,10,70,102.5246409,0.174438026,1
4,3,110,0,179.3587294,1.907327429,1
4,3,110,10,171.2727416,1.915368131,1
4,3,110,20,163.2154408,1.922629681,1
4,3,110,30,155.185,1.929069211,1
4,3,110,40,147.1790947,1.934649163,1
4,3,110,50,139.2155371,1.939052682,1
4,3,110,60,131.2853896,1.942292241,1
4,3,110,70,123.4011536,1.944062616,1
4,3,210,0,183.4908152,3.64312991,1
4,3,210,10,175.57,3.658891683,1
4,3,210,20,167.6793855,3.673186893,1
4,3,210,30,159.8036078,3.686246592,1
4,3,210,40,151.9552131,3.697687621,1
4,3,210,50,144.1267791,3.707568229,1
4,3,210,60,136.36,3.714642559,1
4,3,210,70,128.6147229,3.719748068,1
4,3,310,0,185.727372,5.378836801,1
4,3,310,10,177.9157988,5.402089958,1
4,3,310,20,170.1006703,5.424267849,1
4,3,310,30,162.3300618,5.443745593,1
4,3,310,40,154.57,5.461462865,1
4,3,310,50,146.8501243,5.47622181,1
4,3,310,60,139.165,5.48795549,1
4,3,310,70,131.5121691,5.496492659,1
4,3,410,0,187.1630571,7.113750502,1
4,3,410,10,179.4009644,7.145560807,1
4,3,410,20,171.6751767,7.174392103,1
4,3,410,30,163.9631223,7.200975605,1
4,3,410,40,156.28,7.224476772,1
4,3,410,50,148.6278057,7.244547892,1
4,3,410,60,141.0054256,7.260957404,1
4,3,410,70,133.419062,7.273062569,1
4,3,510,0,188.1311193,8.848616133,1
4,3,510,10,180.4428997,8.887427167,1
4,3,510,20,172.75,8.924595618,1
4,3,510,30,165.103211,8.957357528,1
4,3,510,40,157.464701,8.987452348,1
4,3,510,50,149.8688329,9.012692537,1
4,3,510,60,142.3032814,9.033400655,1
4,3,510,70,134.7692194,9.049122413,1
4,3,610,0,188.8205448,10.58230642,1
4,3,610,10,181.1570498,10.63000972,1
4,3,610,20,173.5385214,10.67282993,1
4,3,610,30,165.9267892,10.71278099,1
4,3,610,40,158.3428327,10.74831512,1
4,3,610,50,150.7837578,10.77929521,1
4,3,610,60,143.2571892,10.80480761,1
4,3,610,70,135.7764509,10.82333173,1
4,3,710,0,189.2964692,12.31597803,1
4,3,710,10,181.6780691,12.37109169,1
4,3,710,20,174.085,12.4219086,1
4,3,710,30,166.5135327,12.46839304,1
4,3,710,40,158.9768954,12.50920599,1
4,3,710,50,151.4614233,12.54499658,1
4,3,710,60,143.9751249,12.57472048,1
4,3,710,70,136.525,12.59725163,1
4,3,810,0,189.6354914,14.04819081,1
4,3,810,10,182.0541801,14.11073044,1
4,3,810,20,174.49,14.16902523,1
4,3,810,30,166.9542463,14.22185373,1
4,3,810,40,159.445,14.26896862,1
4,3,810,50,151.9565007,14.31048421,1
4,3,810,60,144.510336,14.34388582,1
4,3,810,70,137.0998197,14.36912658,1
4,3,910,0,189.8586453,15.77973808,1
4,3,910,10,182.2987536,15.85060369,1
4,3,910,20,174.775,15.9150518,1
4,3,910,30,167.2713872,15.9740772,1
4,3,910,40,159.7914804,16.02696591,1
4,3,910,50,152.3317279,16.07365977,1
